,link,name,draft_rank,draft_year,seasons,per
341,/players/j/jacksgr01.html,Greg Jackson,86.0,1974.0,1.0,12.4
342,/players/c/clydebe01.html,Ben Clyde,89.0,1974.0,1.0,12.4
343,/players/a/anderda02.html,Dan Anderson,92.0,1974.0,2.0,12.4
344,/players/t/templco01.html,Collis Temple,94.0,1974.0,,12.4
345,/players/j/jackswa01.html,Wardell Jackson,98.0,1974.0,1.0,12.4
346,/players/d/dickecl01.html,Clyde Dickey,112.0,1974.0,,12.4
347,/players/l/leegr01.html,Greg Lee,115.0,1974.0,2.0,12.4
348,/players/v/vanzade01.html,Dennis Van Zant,120.0,1974.0,,12.4
349,/players/w/warbipe01.html,Perry Warbington,145.0,1974.0,1.0,12.4
350,/players/b/boydke01.html,Ken Boyd,154.0,1974.0,1.0,12.4
351,/players/s/skinnal01.html,Al Skinner,160.0,1974.0,6.0,12.4
352,/players/d/derliro01.html,Rod Derline,169.0,1974.0,2.0,12.4
353,/players/l/ligonbi01.html,Bill Ligon,175.0,1974.0,1.0,12.4
354,/players/t/thompda01.html,David Thompson,1.0,1975.0,9.0,12.4
355,/players/m/meyerda01.html,Dave Meyers,2.0,1975.0,4.0,12.4
356,/players/w/webstma01.html,Marvin Webster,3.0,1975.0,10.0,12.4
357,/players/a/adamsal01.html,Alvan Adams,4.0,1975.0,13.0,12.4
358,/players/d/dawkida01.html,Darryl Dawkins,5.0,1975.0,14.0,12.4
359,/players/h/hollili01.html,Lionel Hollins,6.0,1975.0,10.0,12.4
360,/players/k/kelleri01.html,Rich Kelley,7.0,1975.0,11.0,12.4
361,/players/b/bridgju01.html,Junior Bridgeman,8.0,1975.0,12.0,12.4
